start_date;stop_date;name;allday;partner_ids/id
2029-05-21;2029-05-21;Lundi de Pentecôte;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-07-14;2029-07-14;14 juillet;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-08-15;2029-08-15;Assomption;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-11-01;2029-11-01;Toussaint;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-11-11;2029-11-11;11 novembre;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-12-25;2029-12-25;Jour de Noël;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-01-01;2030-01-01;1er janvier;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-04-22;2030-04-22;Lundi de Pâques;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-05-01;2030-05-01;1er mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-05-08;2030-05-08;8 mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-05-30;2030-05-30;Ascension;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-06-10;2030-06-10;Lundi de Pentecôte;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-07-14;2030-07-14;14 juillet;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-08-15;2030-08-15;Assomption;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-11-01;2030-11-01;Toussaint;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-11-11;2030-11-11;11 novembre;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2030-12-25;2030-12-25;Jour de Noël;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-01-01;2031-01-01;1er janvier;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-04-14;2031-04-14;Lundi de Pâques;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-05-01;2031-05-01;1er mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-05-08;2031-05-08;8 mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-05-22;2031-05-22;Ascension;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-06-02;2031-06-02;Lundi de Pentecôte;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-07-14;2031-07-14;14 juillet;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-08-15;2031-08-15;Assomption;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-11-01;2031-11-01;Toussaint;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-11-11;2031-11-11;11 novembre;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2031-12-25;2031-12-25;Jour de Noël;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
