start_date;stop_date;name;allday;partner_ids/id
2026-01-01;2026-01-01;1er janvier;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-04-06;2026-04-06;Lundi de Pâques;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-05-01;2026-05-01;1er mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-05-08;2026-05-08;8 mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-05-14;2026-05-14;Ascension;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-05-25;2026-05-25;Lundi de Pentecôte;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-07-14;2026-07-14;14 juillet;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-08-15;2026-08-15;Assomption;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-11-01;2026-11-01;Toussaint;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-11-11;2026-11-11;11 novembre;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2026-12-25;2026-12-25;Jour de Noël;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-01-01;2027-01-01;1er janvier;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-03-29;2027-03-29;Lundi de Pâques;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-05-01;2027-05-01;1er mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-05-06;2027-05-06;Ascension;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-05-08;2027-05-08;8 mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-05-17;2027-05-17;Lundi de Pentecôte;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-07-14;2027-07-14;14 juillet;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-08-15;2027-08-15;Assomption;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-11-01;2027-11-01;Toussaint;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-11-11;2027-11-11;11 novembre;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2027-12-25;2027-12-25;Jour de Noël;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-01-01;2028-01-01;1er janvier;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-04-17;2028-04-17;Lundi de Pâques;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-05-01;2028-05-01;1er mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-05-08;2028-05-08;8 mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-05-25;2028-05-25;Ascension;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-06-05;2028-06-05;Lundi de Pentecôte;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-07-14;2028-07-14;14 juillet;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-08-15;2028-08-15;Assomption;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-11-01;2028-11-01;Toussaint;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-11-11;2028-11-11;11 novembre;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2028-12-25;2028-12-25;Jour de Noël;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-01-01;2029-01-01;1er janvier;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-04-02;2029-04-02;Lundi de Pâques;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-05-01;2029-05-01;1er mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-05-08;2029-05-08;8 mai;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
2029-05-10;2029-05-10;Ascension;1;l10n_fr_calendar_event_public_holiday.public_holiday_partner
