id,name,description,invoice_label,amount,amount_type,sequence,type_tax_use,tax_scope,include_base_amount,tax_group_id,active,tax_exigibility,cash_basis_transition_account_id,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,description@fr,price_include_override,unece_type_id,unece_categ_id
tva_purchase_200,TVA 20%,20% VAT,TVA 20%,20.0,percent,9,purchase,,1,tax_group_tva_20,,,,100,base,invoice,,TVA 20%,,account_tax_unece.tax_type_vat,account_tax_unece.tax_categ_s
,,,,,,,,,,,,,,100,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,100,tax,refund,pcg_44566,,,,
tva_purchase_100,TVA 10%,10% VAT,TVA 10%,10.0,percent,10,purchase,,1,tax_group_tva_10,,,,100,base,invoice,,TVA 10%,,account_tax_unece.tax_type_vat,account_tax_unece.tax_categ_s
,,,,,,,,,,,,,,100,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,100,tax,refund,pcg_44566,,,,
tva_purchase_55,"TVA 5,5%",5.5% VAT,"TVA 5,5%",5.5,percent,10,purchase,,1,tax_group_tva_55,,,,100,base,invoice,,"TVA 5,5%",,account_tax_unece.tax_type_vat,account_tax_unece.tax_categ_s
,,,,,,,,,,,,,,100,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,100,tax,refund,pcg_44566,,,,
tva_purchase_21,"TVA 2,1%",2.1% VAT,"TVA 2,1%",2.1,percent,10,purchase,,1,tax_group_tva_21,,,,100,base,invoice,,"TVA 2,1%",,account_tax_unece.tax_type_vat,account_tax_unece.tax_categ_s
,,,,,,,,,,,,,,100,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,100,tax,refund,pcg_44566,,,,
tva_purchase_200_fuel,TVA 20% carburant VP,20% VAT fuels,TVA 20% carburant VP,20.0,percent,9,purchase,,1,tax_group_tva_20,,,,100,base,invoice,,TVA 20% carburant VP,,account_tax_unece.tax_type_vat,
,,,,,,,,,,,,,,80,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,20,tax,invoice,pcg_6061,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,80,tax,refund,pcg_44566,,,,
,,,,,,,,,,,,,,20,tax,refund,pcg_6061,,,,
tva_purchase_200_fuel_ttc,TVA 20% carburant VP TTC,20% VAT fuels incl.,TVA 20% carburant VP TTC,20.0,percent,9,purchase,,1,tax_group_tva_20,,,,100,base,invoice,,TVA 20% carburant VP TTC,tax_included,account_tax_unece.tax_type_vat,
,,,,,,,,,,,,,,80,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,20,tax,invoice,pcg_6061,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,80,tax,refund,pcg_44566,,,,
,,,,,,,,,,,,,,20,tax,refund,pcg_6061,,,,
tva_purchase_200_ttc,TVA 20% TTC,20% VAT incl.,TVA 20% TTC,20.0,percent,10,purchase,,,tax_group_tva_20,,,,100,base,invoice,,TVA 20% TTC,tax_included,account_tax_unece.tax_type_vat,account_tax_unece.tax_categ_s
,,,,,,,,,,,,,,100,tax,invoice,pcg_44566,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,,,,,,100,tax,refund,pcg_44566,,,,
