"id","parent_id:id","name"
"naf_01_11Z","l10n_eu_nace.nace_01_11","[01.11Z] Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"naf_01_12Z","l10n_eu_nace.nace_01_12","[01.12Z] Culture du riz"
"naf_01_13Z","l10n_eu_nace.nace_01_13","[01.13Z] Culture de légumes, de melons, de racines et de tubercules"
"naf_01_14Z","l10n_eu_nace.nace_01_14","[01.14Z] Culture de la canne à sucre"
"naf_01_15Z","l10n_eu_nace.nace_01_15","[01.15Z] Culture du tabac"
"naf_01_16Z","l10n_eu_nace.nace_01_16","[01.16Z] Culture de plantes à fibres"
"naf_01_19Z","l10n_eu_nace.nace_01_19","[01.19Z] Autres cultures non permanentes"
"naf_01_21Z","l10n_eu_nace.nace_01_21","[01.21Z] Culture de la vigne"
"naf_01_22Z","l10n_eu_nace.nace_01_22","[01.22Z] Culture de fruits tropicaux et subtropicaux"
"naf_01_23Z","l10n_eu_nace.nace_01_23","[01.23Z] Culture d'agrumes"
"naf_01_24Z","l10n_eu_nace.nace_01_24","[01.24Z] Culture de fruits à pépins et à noyau"
"naf_01_25Z","l10n_eu_nace.nace_01_25","[01.25Z] Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"naf_01_26Z","l10n_eu_nace.nace_01_26","[01.26Z] Culture de fruits oléagineux"
"naf_01_27Z","l10n_eu_nace.nace_01_27","[01.27Z] Culture de plantes à boissons"
"naf_01_28Z","l10n_eu_nace.nace_01_28","[01.28Z] Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
"naf_01_29Z","l10n_eu_nace.nace_01_29","[01.29Z] Autres cultures permanentes"
"naf_01_30Z","l10n_eu_nace.nace_01_30","[01.30Z] Reproduction de plantes"
"naf_01_41Z","l10n_eu_nace.nace_01_41","[01.41Z] Élevage de vaches laitières"
"naf_01_42Z","l10n_eu_nace.nace_01_42","[01.42Z] Élevage d'autres bovins et de buffles"
"naf_01_43Z","l10n_eu_nace.nace_01_43","[01.43Z] Élevage de chevaux et d'autres équidés"
"naf_01_44Z","l10n_eu_nace.nace_01_44","[01.44Z] Élevage de chameaux et d'autres camélidés"
"naf_01_45Z","l10n_eu_nace.nace_01_45","[01.45Z] Élevage d'ovins et de caprins"
"naf_01_46Z","l10n_eu_nace.nace_01_46","[01.46Z] Élevage de porcins"
"naf_01_47Z","l10n_eu_nace.nace_01_47","[01.47Z] Élevage de volailles"
"naf_01_49Z","l10n_eu_nace.nace_01_49","[01.49Z] Élevage d'autres animaux"
"naf_01_50Z","l10n_eu_nace.nace_01_50","[01.50Z] Culture et élevage associés"
"naf_01_61Z","l10n_eu_nace.nace_01_61","[01.61Z] Activités de soutien aux cultures"
"naf_01_62Z","l10n_eu_nace.nace_01_62","[01.62Z] Activités de soutien à la production animale"
"naf_01_63Z","l10n_eu_nace.nace_01_63","[01.63Z] Traitement primaire des récoltes"
"naf_01_64Z","l10n_eu_nace.nace_01_64","[01.64Z] Traitement des semences"
"naf_01_70Z","l10n_eu_nace.nace_01_70","[01.70Z] Chasse, piégeage et services annexes"
