"id","parent_id:id","name"
"naf_02_10Z","l10n_eu_nace.nace_02_10","[02.10Z] Sylviculture et autres activités forestières"
"naf_02_20Z","l10n_eu_nace.nace_02_20","[02.20Z] Exploitation forestière"
"naf_02_30Z","l10n_eu_nace.nace_02_30","[02.30Z] Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"naf_02_40Z","l10n_eu_nace.nace_02_40","[02.40Z] Services de soutien à l'exploitation forestière"
"naf_03_11Z","l10n_eu_nace.nace_03_11","[03.11Z] Pêche en mer"
"naf_03_12Z","l10n_eu_nace.nace_03_12","[03.12Z] Pêche en eau douce"
"naf_03_21Z","l10n_eu_nace.nace_03_21","[03.21Z] Aquaculture en mer"
"naf_03_22Z","l10n_eu_nace.nace_03_22","[03.22Z] Aquaculture en eau douce"
"naf_05_10Z","l10n_eu_nace.nace_05_10","[05.10Z] Extraction de houille"
"naf_05_20Z","l10n_eu_nace.nace_05_20","[05.20Z] Extraction de lignite"
"naf_06_10Z","l10n_eu_nace.nace_06_10","[06.10Z] Extraction de pétrole brut"
"naf_06_20Z","l10n_eu_nace.nace_06_20","[06.20Z] Extraction de gaz naturel"
"naf_07_10Z","l10n_eu_nace.nace_07_10","[07.10Z] Extraction de minerais de fer"
"naf_07_21Z","l10n_eu_nace.nace_07_21","[07.21Z] Extraction de minerais d'uranium et de thorium"
"naf_07_29Z","l10n_eu_nace.nace_07_29","[07.29Z] Extraction d'autres minerais de métaux non ferreux"
"naf_08_11Z","l10n_eu_nace.nace_08_11","[08.11Z] Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
"naf_08_12Z","l10n_eu_nace.nace_08_12","[08.12Z] Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
"naf_08_91Z","l10n_eu_nace.nace_08_91","[08.91Z] Extraction des minéraux chimiques et d'engrais minéraux"
"naf_08_92Z","l10n_eu_nace.nace_08_92","[08.92Z] Extraction de tourbe"
"naf_08_93Z","l10n_eu_nace.nace_08_93","[08.93Z] Production de sel"
"naf_08_99Z","l10n_eu_nace.nace_08_99","[08.99Z] Autres activités extractives n.c.a."
"naf_09_10Z","l10n_eu_nace.nace_09_10","[09.10Z] Activités de soutien à l'extraction d'hydrocarbures"
"naf_09_90Z","l10n_eu_nace.nace_09_90","[09.90Z] Activités de soutien aux autres industries extractives"
"naf_10_11Z","l10n_eu_nace.nace_10_11","[10.11Z] Transformation et conservation de la viande de boucherie"
"naf_10_12Z","l10n_eu_nace.nace_10_12","[10.12Z] Transformation et conservation de la viande de volaille"
"naf_10_13A","l10n_eu_nace.nace_10_13","[10.13A] Préparation industrielle de produits à base de viande"
"naf_10_13B","l10n_eu_nace.nace_10_13","[10.13B] Charcuterie"
"naf_10_20Z","l10n_eu_nace.nace_10_20","[10.20Z] Transformation et conservation de poisson, de crustacés et de mollusques"
"naf_10_31Z","l10n_eu_nace.nace_10_31","[10.31Z] Transformation et conservation de pommes de terre"
"naf_10_32Z","l10n_eu_nace.nace_10_32","[10.32Z] Préparation de jus de fruits et légumes"
"naf_10_39A","l10n_eu_nace.nace_10_39","[10.39A] Autre transformation et conservation de légumes"
"naf_10_39B","l10n_eu_nace.nace_10_39","[10.39B] Transformation et conservation de fruits"
"naf_10_41A","l10n_eu_nace.nace_10_41","[10.41A] Fabrication d'huiles et graisses brutes"
"naf_10_41B","l10n_eu_nace.nace_10_41","[10.41B] Fabrication d'huiles et graisses raffinées"
"naf_10_42Z","l10n_eu_nace.nace_10_42","[10.42Z] Fabrication de margarine et graisses comestibles similaires"
"naf_10_51A","l10n_eu_nace.nace_10_51","[10.51A] Fabrication de lait liquide et de produits frais"
"naf_10_51B","l10n_eu_nace.nace_10_51","[10.51B] Fabrication de beurre"
"naf_10_51C","l10n_eu_nace.nace_10_51","[10.51C] Fabrication de fromage"
"naf_10_51D","l10n_eu_nace.nace_10_51","[10.51D] Fabrication d'autres produits laitiers"
"naf_10_52Z","l10n_eu_nace.nace_10_52","[10.52Z] Fabrication de glaces et sorbets"
"naf_10_61A","l10n_eu_nace.nace_10_61","[10.61A] Meunerie"
"naf_10_61B","l10n_eu_nace.nace_10_61","[10.61B] Autres activités du travail des grains"
"naf_10_62Z","l10n_eu_nace.nace_10_62","[10.62Z] Fabrication de produits amylacés"
"naf_10_71A","l10n_eu_nace.nace_10_71","[10.71A] Fabrication industrielle de pain et de pâtisserie fraîche"
"naf_10_71B","l10n_eu_nace.nace_10_71","[10.71B] Cuisson de produits de boulangerie"
"naf_10_71C","l10n_eu_nace.nace_10_71","[10.71C] Boulangerie et boulangerie-pâtisserie"
"naf_10_71D","l10n_eu_nace.nace_10_71","[10.71D] Pâtisserie"
"naf_10_72Z","l10n_eu_nace.nace_10_72","[10.72Z] Fabrication de biscuits, biscottes et pâtisseries de conservation"
"naf_10_73Z","l10n_eu_nace.nace_10_73","[10.73Z] Fabrication de pâtes alimentaires"
"naf_10_81Z","l10n_eu_nace.nace_10_81","[10.81Z] Fabrication de sucre"
"naf_10_82Z","l10n_eu_nace.nace_10_82","[10.82Z] Fabrication de cacao, chocolat et de produits de confiserie"
"naf_10_83Z","l10n_eu_nace.nace_10_83","[10.83Z] Transformation du thé et du café"
"naf_10_84Z","l10n_eu_nace.nace_10_84","[10.84Z] Fabrication de condiments et assaisonnements"
"naf_10_85Z","l10n_eu_nace.nace_10_85","[10.85Z] Fabrication de plats préparés"
"naf_10_86Z","l10n_eu_nace.nace_10_86","[10.86Z] Fabrication d'aliments homogénéisés et diététiques"
"naf_10_89Z","l10n_eu_nace.nace_10_89","[10.89Z] Fabrication d'autres produits alimentaires n.c.a."
"naf_10_91Z","l10n_eu_nace.nace_10_91","[10.91Z] Fabrication d'aliments pour animaux de ferme"
"naf_10_92Z","l10n_eu_nace.nace_10_92","[10.92Z] Fabrication d'aliments pour animaux de compagnie"
"naf_11_01Z","l10n_eu_nace.nace_11_01","[11.01Z] Production de boissons alcooliques distillées"
"naf_11_02A","l10n_eu_nace.nace_11_02","[11.02A] Fabrication de vins effervescents"
"naf_11_02B","l10n_eu_nace.nace_11_02","[11.02B] Vinification"
"naf_11_03Z","l10n_eu_nace.nace_11_03","[11.03Z] Fabrication de cidre et de vins de fruits"
"naf_11_04Z","l10n_eu_nace.nace_11_04","[11.04Z] Production d'autres boissons fermentées non distillées"
"naf_11_05Z","l10n_eu_nace.nace_11_05","[11.05Z] Fabrication de bière"
"naf_11_06Z","l10n_eu_nace.nace_11_06","[11.06Z] Fabrication de malt"
"naf_11_07A","l10n_eu_nace.nace_11_07","[11.07A] Industrie des eaux de table"
"naf_11_07B","l10n_eu_nace.nace_11_07","[11.07B] Production de boissons rafraîchissantes"
"naf_12_00Z","l10n_eu_nace.nace_12_00","[12.00Z] Fabrication de produits à base de tabac"
"naf_13_10Z","l10n_eu_nace.nace_13_10","[13.10Z] Préparation de fibres textiles et filature"
"naf_13_20Z","l10n_eu_nace.nace_13_20","[13.20Z] Tissage"
"naf_13_30Z","l10n_eu_nace.nace_13_30","[13.30Z] Ennoblissement textile"
"naf_13_91Z","l10n_eu_nace.nace_13_91","[13.91Z] Fabrication d'étoffes à mailles"
"naf_13_92Z","l10n_eu_nace.nace_13_92","[13.92Z] Fabrication d'articles textiles, sauf habillement"
"naf_13_93Z","l10n_eu_nace.nace_13_93","[13.93Z] Fabrication de tapis et moquettes"
"naf_13_94Z","l10n_eu_nace.nace_13_94","[13.94Z] Fabrication de ficelles, cordes et filets"
"naf_13_95Z","l10n_eu_nace.nace_13_95","[13.95Z] Fabrication de non-tissés, sauf habillement"
"naf_13_96Z","l10n_eu_nace.nace_13_96","[13.96Z] Fabrication d'autres textiles techniques et industriels"
"naf_13_99Z","l10n_eu_nace.nace_13_99","[13.99Z] Fabrication d'autres textiles n.c.a."
"naf_14_11Z","l10n_eu_nace.nace_14_11","[14.11Z] Fabrication de vêtements en cuir"
"naf_14_12Z","l10n_eu_nace.nace_14_12","[14.12Z] Fabrication de vêtements de travail"
"naf_14_13Z","l10n_eu_nace.nace_14_13","[14.13Z] Fabrication de vêtements de dessus"
"naf_14_14Z","l10n_eu_nace.nace_14_14","[14.14Z] Fabrication de vêtements de dessous"
"naf_14_19Z","l10n_eu_nace.nace_14_19","[14.19Z] Fabrication d'autres vêtements et accessoires"
"naf_14_20Z","l10n_eu_nace.nace_14_20","[14.20Z] Fabrication d'articles en fourrure"
"naf_14_31Z","l10n_eu_nace.nace_14_31","[14.31Z] Fabrication d'articles chaussants à mailles"
"naf_14_39Z","l10n_eu_nace.nace_14_39","[14.39Z] Fabrication d'autres articles à mailles"
"naf_15_11Z","l10n_eu_nace.nace_15_11","[15.11Z] Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
"naf_15_12Z","l10n_eu_nace.nace_15_12","[15.12Z] Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"naf_15_20Z","l10n_eu_nace.nace_15_20","[15.20Z] Fabrication de chaussures"
"naf_16_10A","l10n_eu_nace.nace_16_10","[16.10A] Sciage et rabotage du bois, hors imprégnation"
"naf_16_10B","l10n_eu_nace.nace_16_10","[16.10B] Imprégnation du bois"
"naf_16_21Z","l10n_eu_nace.nace_16_21","[16.21Z] Fabrication de placage et de panneaux de bois"
"naf_16_22Z","l10n_eu_nace.nace_16_22","[16.22Z] Fabrication de parquets assemblés"
"naf_16_23Z","l10n_eu_nace.nace_16_23","[16.23Z] Fabrication de charpentes et d'autres menuiseries"
"naf_16_24Z","l10n_eu_nace.nace_16_24","[16.24Z] Fabrication d'emballages en bois"
"naf_16_29Z","l10n_eu_nace.nace_16_29","[16.29Z] Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
"naf_17_11Z","l10n_eu_nace.nace_17_11","[17.11Z] Fabrication de pâte à papier"
"naf_17_12Z","l10n_eu_nace.nace_17_12","[17.12Z] Fabrication de papier et de carton"
"naf_17_21A","l10n_eu_nace.nace_17_21","[17.21A] Fabrication de carton ondulé"
"naf_17_21B","l10n_eu_nace.nace_17_21","[17.21B] Fabrication de cartonnages"
"naf_17_21C","l10n_eu_nace.nace_17_21","[17.21C] Fabrication d'emballages en papier"
"naf_17_22Z","l10n_eu_nace.nace_17_22","[17.22Z] Fabrication d'articles en papier à usage sanitaire ou domestique"
"naf_17_23Z","l10n_eu_nace.nace_17_23","[17.23Z] Fabrication d'articles de papeterie"
"naf_17_24Z","l10n_eu_nace.nace_17_24","[17.24Z] Fabrication de papiers peints"
"naf_17_29Z","l10n_eu_nace.nace_17_29","[17.29Z] Fabrication d'autres articles en papier ou en carton"
"naf_18_11Z","l10n_eu_nace.nace_18_11","[18.11Z] Imprimerie de journaux"
"naf_18_12Z","l10n_eu_nace.nace_18_12","[18.12Z] Autre imprimerie (labeur)"
"naf_18_13Z","l10n_eu_nace.nace_18_13","[18.13Z] Activités de pré-presse"
"naf_18_14Z","l10n_eu_nace.nace_18_14","[18.14Z] Reliure et activités connexes"
"naf_18_20Z","l10n_eu_nace.nace_18_20","[18.20Z] Reproduction d'enregistrements"
"naf_19_10Z","l10n_eu_nace.nace_19_10","[19.10Z] Cokéfaction"
"naf_19_20Z","l10n_eu_nace.nace_19_20","[19.20Z] Raffinage du pétrole"
"naf_20_11Z","l10n_eu_nace.nace_20_11","[20.11Z] Fabrication de gaz industriels"
"naf_20_12Z","l10n_eu_nace.nace_20_12","[20.12Z] Fabrication de colorants et de pigments"
"naf_20_13A","l10n_eu_nace.nace_20_13","[20.13A] Enrichissement et retraitement de matières nucléaires"
"naf_20_13B","l10n_eu_nace.nace_20_13","[20.13B] Fabrication d'autres produits chimiques inorganiques de base n.c.a."
"naf_20_14Z","l10n_eu_nace.nace_20_14","[20.14Z] Fabrication d'autres produits chimiques organiques de base"
"naf_20_15Z","l10n_eu_nace.nace_20_15","[20.15Z] Fabrication de produits azotés et d'engrais"
"naf_20_16Z","l10n_eu_nace.nace_20_16","[20.16Z] Fabrication de matières plastiques de base"
"naf_20_17Z","l10n_eu_nace.nace_20_17","[20.17Z] Fabrication de caoutchouc synthétique"
"naf_20_20Z","l10n_eu_nace.nace_20_20","[20.20Z] Fabrication de pesticides et d'autres produits agrochimiques"
"naf_20_30Z","l10n_eu_nace.nace_20_30","[20.30Z] Fabrication de peintures, vernis, encres et mastics"
"naf_20_41Z","l10n_eu_nace.nace_20_41","[20.41Z] Fabrication de savons, détergents et produits d'entretien"
"naf_20_42Z","l10n_eu_nace.nace_20_42","[20.42Z] Fabrication de parfums et de produits pour la toilette"
"naf_20_51Z","l10n_eu_nace.nace_20_51","[20.51Z] Fabrication de produits explosifs"
"naf_20_52Z","l10n_eu_nace.nace_20_52","[20.52Z] Fabrication de colles"
"naf_20_53Z","l10n_eu_nace.nace_20_53","[20.53Z] Fabrication d'huiles essentielles"
"naf_20_59Z","l10n_eu_nace.nace_20_59","[20.59Z] Fabrication d'autres produits chimiques n.c.a."
"naf_20_60Z","l10n_eu_nace.nace_20_60","[20.60Z] Fabrication de fibres artificielles ou synthétiques"
"naf_21_10Z","l10n_eu_nace.nace_21_10","[21.10Z] Fabrication de produits pharmaceutiques de base"
"naf_21_20Z","l10n_eu_nace.nace_21_20","[21.20Z] Fabrication de préparations pharmaceutiques"
"naf_22_11Z","l10n_eu_nace.nace_22_11","[22.11Z] Fabrication et rechapage de pneumatiques"
"naf_22_19Z","l10n_eu_nace.nace_22_19","[22.19Z] Fabrication d'autres articles en caoutchouc"
"naf_22_21Z","l10n_eu_nace.nace_22_21","[22.21Z] Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"naf_22_22Z","l10n_eu_nace.nace_22_22","[22.22Z] Fabrication d'emballages en matières plastiques"
"naf_22_23Z","l10n_eu_nace.nace_22_23","[22.23Z] Fabrication d'éléments en matières plastiques pour la construction"
"naf_22_29A","l10n_eu_nace.nace_22_29","[22.29A] Fabrication de pièces techniques à base de matières plastiques"
"naf_22_29B","l10n_eu_nace.nace_22_29","[22.29B] Fabrication de produits de consommation courante en matières plastiques"
"naf_23_11Z","l10n_eu_nace.nace_23_11","[23.11Z] Fabrication de verre plat"
"naf_23_12Z","l10n_eu_nace.nace_23_12","[23.12Z] Façonnage et transformation du verre plat"
"naf_23_13Z","l10n_eu_nace.nace_23_13","[23.13Z] Fabrication de verre creux"
"naf_23_14Z","l10n_eu_nace.nace_23_14","[23.14Z] Fabrication de fibres de verre"
"naf_23_19Z","l10n_eu_nace.nace_23_19","[23.19Z] Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"naf_23_20Z","l10n_eu_nace.nace_23_20","[23.20Z] Fabrication de produits réfractaires"
"naf_23_31Z","l10n_eu_nace.nace_23_31","[23.31Z] Fabrication de carreaux en céramique"
"naf_23_32Z","l10n_eu_nace.nace_23_32","[23.32Z] Fabrication de briques, tuiles et produits de construction, en terre cuite"
"naf_23_41Z","l10n_eu_nace.nace_23_41","[23.41Z] Fabrication d'articles céramiques à usage domestique ou ornemental"
"naf_23_42Z","l10n_eu_nace.nace_23_42","[23.42Z] Fabrication d'appareils sanitaires en céramique"
"naf_23_43Z","l10n_eu_nace.nace_23_43","[23.43Z] Fabrication d'isolateurs et pièces isolantes en céramique"
"naf_23_44Z","l10n_eu_nace.nace_23_44","[23.44Z] Fabrication d'autres produits céramiques à usage technique"
"naf_23_49Z","l10n_eu_nace.nace_23_49","[23.49Z] Fabrication d'autres produits céramiques"
"naf_23_51Z","l10n_eu_nace.nace_23_51","[23.51Z] Fabrication de ciment"
"naf_23_52Z","l10n_eu_nace.nace_23_52","[23.52Z] Fabrication de chaux et plâtre"
"naf_23_61Z","l10n_eu_nace.nace_23_61","[23.61Z] Fabrication d'éléments en béton pour la construction"
"naf_23_62Z","l10n_eu_nace.nace_23_62","[23.62Z] Fabrication d'éléments en plâtre pour la construction"
"naf_23_63Z","l10n_eu_nace.nace_23_63","[23.63Z] Fabrication de béton prêt à l'emploi"
"naf_23_64Z","l10n_eu_nace.nace_23_64","[23.64Z] Fabrication de mortiers et bétons secs"
"naf_23_65Z","l10n_eu_nace.nace_23_65","[23.65Z] Fabrication d'ouvrages en fibre-ciment"
"naf_23_69Z","l10n_eu_nace.nace_23_69","[23.69Z] Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
"naf_23_70Z","l10n_eu_nace.nace_23_70","[23.70Z] Taille, façonnage et finissage de pierres"
"naf_23_91Z","l10n_eu_nace.nace_23_91","[23.91Z] Fabrication de produits abrasifs"
"naf_23_99Z","l10n_eu_nace.nace_23_99","[23.99Z] Fabrication d'autres produits minéraux non métalliques n.c.a."
"naf_24_10Z","l10n_eu_nace.nace_24_10","[24.10Z] Sidérurgie"
"naf_24_20Z","l10n_eu_nace.nace_24_20","[24.20Z] Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"naf_24_31Z","l10n_eu_nace.nace_24_31","[24.31Z] Étirage à froid de barres"
"naf_24_32Z","l10n_eu_nace.nace_24_32","[24.32Z] Laminage à froid de feuillards"
"naf_24_33Z","l10n_eu_nace.nace_24_33","[24.33Z] Profilage à froid par formage ou pliage"
"naf_24_34Z","l10n_eu_nace.nace_24_34","[24.34Z] Tréfilage à froid"
"naf_24_41Z","l10n_eu_nace.nace_24_41","[24.41Z] Production de métaux précieux"
"naf_24_42Z","l10n_eu_nace.nace_24_42","[24.42Z] Métallurgie de l'aluminium"
"naf_24_43Z","l10n_eu_nace.nace_24_43","[24.43Z] Métallurgie du plomb, du zinc ou de l'étain"
"naf_24_44Z","l10n_eu_nace.nace_24_44","[24.44Z] Métallurgie du cuivre"
"naf_24_45Z","l10n_eu_nace.nace_24_45","[24.45Z] Métallurgie des autres métaux non ferreux"
"naf_24_46Z","l10n_eu_nace.nace_24_46","[24.46Z] Élaboration et transformation de matières nucléaires"
"naf_24_51Z","l10n_eu_nace.nace_24_51","[24.51Z] Fonderie de fonte"
"naf_24_52Z","l10n_eu_nace.nace_24_52","[24.52Z] Fonderie d'acier"
"naf_24_53Z","l10n_eu_nace.nace_24_53","[24.53Z] Fonderie de métaux légers"
"naf_24_54Z","l10n_eu_nace.nace_24_54","[24.54Z] Fonderie d'autres métaux non ferreux"
"naf_25_11Z","l10n_eu_nace.nace_25_11","[25.11Z] Fabrication de structures métalliques et de parties de structures"
"naf_25_12Z","l10n_eu_nace.nace_25_12","[25.12Z] Fabrication de portes et fenêtres en métal"
"naf_25_21Z","l10n_eu_nace.nace_25_21","[25.21Z] Fabrication de radiateurs et de chaudières pour le chauffage central"
"naf_25_29Z","l10n_eu_nace.nace_25_29","[25.29Z] Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
"naf_25_30Z","l10n_eu_nace.nace_25_30","[25.30Z] Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
"naf_25_40Z","l10n_eu_nace.nace_25_40","[25.40Z] Fabrication d'armes et de munitions"
"naf_25_50A","l10n_eu_nace.nace_25_50","[25.50A] Forge, estampage, matriçage ; métallurgie des poudres"
"naf_25_50B","l10n_eu_nace.nace_25_50","[25.50B] Découpage, emboutissage"
"naf_25_61Z","l10n_eu_nace.nace_25_61","[25.61Z] Traitement et revêtement des métaux"
"naf_25_62A","l10n_eu_nace.nace_25_62","[25.62A] Décolletage"
"naf_25_62B","l10n_eu_nace.nace_25_62","[25.62B] Mécanique industrielle"
"naf_25_71Z","l10n_eu_nace.nace_25_71","[25.71Z] Fabrication de coutellerie"
"naf_25_72Z","l10n_eu_nace.nace_25_72","[25.72Z] Fabrication de serrures et de ferrures"
"naf_25_73A","l10n_eu_nace.nace_25_73","[25.73A] Fabrication de moules et modèles"
"naf_25_73B","l10n_eu_nace.nace_25_73","[25.73B] Fabrication d'autres outillages"
"naf_25_91Z","l10n_eu_nace.nace_25_91","[25.91Z] Fabrication de fûts et emballages métalliques similaires"
"naf_25_92Z","l10n_eu_nace.nace_25_92","[25.92Z] Fabrication d'emballages métalliques légers"
"naf_25_93Z","l10n_eu_nace.nace_25_93","[25.93Z] Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
"naf_25_94Z","l10n_eu_nace.nace_25_94","[25.94Z] Fabrication de vis et de boulons"
"naf_25_99A","l10n_eu_nace.nace_25_99","[25.99A] Fabrication d'articles métalliques ménagers"
"naf_25_99B","l10n_eu_nace.nace_25_99","[25.99B] Fabrication d'autres articles métalliques"
"naf_26_11Z","l10n_eu_nace.nace_26_11","[26.11Z] Fabrication de composants électroniques"
"naf_26_12Z","l10n_eu_nace.nace_26_12","[26.12Z] Fabrication de cartes électroniques assemblées"
"naf_26_20Z","l10n_eu_nace.nace_26_20","[26.20Z] Fabrication d'ordinateurs et d'équipements périphériques"
"naf_26_30Z","l10n_eu_nace.nace_26_30","[26.30Z] Fabrication d'équipements de communication"
"naf_26_40Z","l10n_eu_nace.nace_26_40","[26.40Z] Fabrication de produits électroniques grand public"
"naf_26_51A","l10n_eu_nace.nace_26_51","[26.51A] Fabrication d'équipements d'aide à la navigation"
"naf_26_51B","l10n_eu_nace.nace_26_51","[26.51B] Fabrication d'instrumentation scientifique et technique"
"naf_26_52Z","l10n_eu_nace.nace_26_52","[26.52Z] Horlogerie"
"naf_26_60Z","l10n_eu_nace.nace_26_60","[26.60Z] Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"naf_26_70Z","l10n_eu_nace.nace_26_70","[26.70Z] Fabrication de matériels optique et photographique"
"naf_26_80Z","l10n_eu_nace.nace_26_80","[26.80Z] Fabrication de supports magnétiques et optiques"
"naf_27_11Z","l10n_eu_nace.nace_27_11","[27.11Z] Fabrication de moteurs, génératrices et transformateurs électriques"
"naf_27_12Z","l10n_eu_nace.nace_27_12","[27.12Z] Fabrication de matériel de distribution et de commande électrique"
"naf_27_20Z","l10n_eu_nace.nace_27_20","[27.20Z] Fabrication de piles et d'accumulateurs électriques"
"naf_27_31Z","l10n_eu_nace.nace_27_31","[27.31Z] Fabrication de câbles de fibres optiques"
"naf_27_32Z","l10n_eu_nace.nace_27_32","[27.32Z] Fabrication d'autres fils et câbles électroniques ou électriques"
"naf_27_33Z","l10n_eu_nace.nace_27_33","[27.33Z] Fabrication de matériel d'installation électrique"
"naf_27_40Z","l10n_eu_nace.nace_27_40","[27.40Z] Fabrication d'appareils d'éclairage électrique"
"naf_27_51Z","l10n_eu_nace.nace_27_51","[27.51Z] Fabrication d'appareils électroménagers"
"naf_27_52Z","l10n_eu_nace.nace_27_52","[27.52Z] Fabrication d'appareils ménagers non électriques"
"naf_27_90Z","l10n_eu_nace.nace_27_90","[27.90Z] Fabrication d'autres matériels électriques"
"naf_28_11Z","l10n_eu_nace.nace_28_11","[28.11Z] Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules"
"naf_28_12Z","l10n_eu_nace.nace_28_12","[28.12Z] Fabrication d'équipements hydrauliques et pneumatiques"
"naf_28_13Z","l10n_eu_nace.nace_28_13","[28.13Z] Fabrication d'autres pompes et compresseurs"
"naf_28_14Z","l10n_eu_nace.nace_28_14","[28.14Z] Fabrication d'autres articles de robinetterie"
"naf_28_15Z","l10n_eu_nace.nace_28_15","[28.15Z] Fabrication d'engrenages et d'organes mécaniques de transmission"
"naf_28_21Z","l10n_eu_nace.nace_28_21","[28.21Z] Fabrication de fours et brûleurs"
"naf_28_22Z","l10n_eu_nace.nace_28_22","[28.22Z] Fabrication de matériel de levage et de manutention"
"naf_28_23Z","l10n_eu_nace.nace_28_23","[28.23Z] Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)"
"naf_28_24Z","l10n_eu_nace.nace_28_24","[28.24Z] Fabrication d'outillage portatif à moteur incorporé"
"naf_28_25Z","l10n_eu_nace.nace_28_25","[28.25Z] Fabrication d'équipements aérauliques et frigorifiques industriels"
"naf_28_29A","l10n_eu_nace.nace_28_29","[28.29A] Fabrication d'équipements d'emballage, de conditionnement et de pesage"
"naf_28_29B","l10n_eu_nace.nace_28_29","[28.29B] Fabrication d'autres machines d'usage général"
"naf_28_30Z","l10n_eu_nace.nace_28_30","[28.30Z] Fabrication de machines agricoles et forestières"
"naf_28_41Z","l10n_eu_nace.nace_28_41","[28.41Z] Fabrication de machines-outils pour le travail des métaux"
"naf_28_49Z","l10n_eu_nace.nace_28_49","[28.49Z] Fabrication d'autres machines-outils"
"naf_28_91Z","l10n_eu_nace.nace_28_91","[28.91Z] Fabrication de machines pour la métallurgie"
"naf_28_92Z","l10n_eu_nace.nace_28_92","[28.92Z] Fabrication de machines pour l'extraction ou la construction"
"naf_28_93Z","l10n_eu_nace.nace_28_93","[28.93Z] Fabrication de machines pour l'industrie agro-alimentaire"
