id,description,from_country/id,to_shipping_country/id,to_invoice_country/id,fiscal_position_id/id,name,sequence,use_sale,use_invoice,use_picking,use_purchase,vat_rule
rule_partner_euro_b2b_gr,,base.fr,base.gr,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Grèce,30,True,True,True,False,with
rule_partner_euro_b2b_hu,,base.fr,base.hu,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Hongrie,30,True,True,True,False,with
rule_partner_euro_b2b_ie,,base.fr,base.ie,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Irlande,30,True,True,True,False,with
rule_partner_euro_b2b_it,,base.fr,base.it,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Italie,30,True,True,True,False,with
rule_partner_euro_b2b_lt,,base.fr,base.lt,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Lituanie,30,True,True,True,False,with
rule_partner_euro_b2b_lu,,base.fr,base.lu,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Luxembourg,30,True,True,True,False,with
rule_partner_euro_b2b_lv,,base.fr,base.lv,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Lettonie,30,True,True,True,False,with
rule_partner_euro_b2b_mt,,base.fr,base.mt,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Malte,30,True,True,True,False,with
rule_partner_euro_b2b_nl,,base.fr,base.nl,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Pays-Bas,30,True,True,True,False,with
rule_partner_euro_b2b_pl,,base.fr,base.pl,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Pologne,30,True,True,True,False,with
rule_partner_euro_b2b_pt,,base.fr,base.pt,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Portugal,30,True,True,True,False,with
rule_partner_euro_b2b_ro,,base.fr,base.ro,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Roumanie,30,True,True,True,False,with
rule_partner_euro_b2b_se,,base.fr,base.se,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Suède,30,True,True,True,False,with
rule_partner_euro_b2b_si,,base.fr,base.si,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Slovénie,30,True,True,True,False,with
rule_partner_euro_b2b_sk,,base.fr,base.sk,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel République Slovaque,30,True,True,True,False,with
rule_partner_euro_b2b_uk,,base.fr,base.uk,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Royaume-Uni,30,True,True,True,False,with
rule_partner_euro_b2b_hr,,base.fr,base.hr,,l10n_fr.fiscal_position_template_intraeub2b,Professionnel Croatie,30,True,True,True,False,with
rule_catch_all,,base.fr,,,l10n_fr.fiscal_position_template_import_export,Monde,40,True,True,True,False,both
